date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jul%202020%2015:02:43%20GMT	http://stackoverflow.com/questions	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/questions.0.delayed	(from )
22:02:46	157604/157604	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:45%20GMT	https://stackoverflow.com/questions	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/questions.html	(from )
22:02:46	120233/120233	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:45%20GMT	https://stackoverflow.com/tags	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/tags.html	(from )
22:02:47	115757/115757	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:46%20GMT	https://stackoverflow.com/users	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/users.html	(from )
22:02:47	574/574	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Jul%202020%2015:02:46%20GMT	https://stackoverflow.com/robots.txt		(from )
22:02:49	3445/3445	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2008:09:28%20GMT	https://cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon.png?v=c78bd457575a	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon452c.png	(from https://stackoverflow.com/questions)
22:02:52	617/617	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Jul%202020%2015:02:51%20GMT	https://stackoverflow.com/opensearch.xml	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/opensearch.xml	(from https://stackoverflow.com/questions)
22:02:52	6562/6562	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jul%202020%2021:26:49%20GMT	https://cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon@2.png?v=73d79a89bded	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon@28a00.png	(from https://stackoverflow.com/questions)
22:02:53	97163/97163	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://stackoverflow.com/questions)
22:02:53	47766/47766	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Jul%202020%2014:02:27%20GMT	https://cdn.sstatic.net/Js/stub.en.js?v=39ab3f513667	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/cdn.sstatic.net/Js/stub.en448c.js	(from https://stackoverflow.com/questions)
22:02:53	284483/284483	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Jul%202020%2020:30:55%20GMT	https://cdn.sstatic.net/Shared/stacks.css?v=0ee8a05683e7	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/cdn.sstatic.net/Shared/stacksbb51.css	(from https://stackoverflow.com/questions)
22:02:54	331601/331601	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Jul%202020%2008:11:53%20GMT	https://cdn.sstatic.net/Sites/stackoverflow/primary.css?v=c5fdf309f06b	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/cdn.sstatic.net/Sites/stackoverflow/primarya0e2.css	(from https://stackoverflow.com/questions)
22:02:54	101749/101749	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:53%20GMT	https://stackoverflow.com/teams/customers	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/teams/customers.html	(from https://stackoverflow.com/questions)
22:02:55	115229/115229	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:54%20GMT	https://stackoverflow.com/	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/index.html	(from https://stackoverflow.com/questions)
22:02:55	90012/90012	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:54%20GMT	https://stackoverflow.com/teams/use-cases	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/teams/use-cases.html	(from https://stackoverflow.com/questions)
22:02:55	113763/113763	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:54%20GMT	https://stackoverflow.com/teams	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/teams.html	(from https://stackoverflow.com/questions)
22:02:55	80615/80615	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:55%20GMT	https://stackoverflow.com/enterprise	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/enterprise.html	(from https://stackoverflow.com/questions)
22:02:56	226045/226045	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:55%20GMT	https://stackoverflow.com/jobs?so_source=ProductsMenu&so_medium=StackOverflow	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/jobs9d9a.html	(from https://stackoverflow.com/questions)
22:02:56	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Jul%202020%2015:02:55%20GMT	https://stackoverflow.com/talent	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/talent	(from https://stackoverflow.com/questions)
22:02:56	77503/77503	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:56%20GMT	https://stackoverflow.com/talent/en	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/talent/en.html	(from https://stackoverflow.com/questions)
22:02:57	75954/75954	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:56%20GMT	https://stackoverflow.com/advertising	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/advertising.html	(from https://stackoverflow.com/questions)
22:02:57	37672/37672	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:56%20GMT	https://stackoverflow.com/users/login?ssrc=head&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/users/login7afd.html	(from https://stackoverflow.com/questions)
22:02:58	46151/46151	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:57%20GMT	https://stackoverflow.com/users/signup?ssrc=head&returnurl=%2fusers%2fstory%2fcurrent	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/users/signup9359.html	(from https://stackoverflow.com/questions)
22:02:58	88884/88884	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:57%20GMT	https://stackoverflow.com/help	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/help.html	(from https://stackoverflow.com/questions)
22:02:58	46187/46187	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:57%20GMT	https://stackoverflow.com/users/signup?ssrc=site_switcher&returnurl=%2fusers%2fstory%2fcurrent	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/users/signupefc2.html	(from https://stackoverflow.com/questions)
22:02:58	37318/37318	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:58%20GMT	https://stackoverflow.com/users/login?ssrc=site_switcher&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/users/login812c.html	(from https://stackoverflow.com/questions)
22:02:59	89404/89404	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:58%20GMT	https://stackoverflow.com/legal/cookie-policy	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/legal/cookie-policy.html	(from https://stackoverflow.com/questions)
22:02:59	128011/128011	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:58%20GMT	https://stackoverflow.com/legal/privacy-policy	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/legal/privacy-policy.html	(from https://stackoverflow.com/questions)
22:02:59	110058/110058	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:58%20GMT	https://stackoverflow.com/legal/terms-of-service/public	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/legal/terms-of-service/public.html	(from https://stackoverflow.com/questions)
22:03:00	129471/129471	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:59%20GMT	https://stackoverflow.com/jobs/companies?so_medium=StackOverflow&so_source=SiteNav	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/jobs/companies3dc5.html	(from https://stackoverflow.com/questions)
22:03:00	225846/225846	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:02:59%20GMT	https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/jobs3dc5.html	(from https://stackoverflow.com/questions)
22:03:00	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2008%20Jul%202020%2015:02:59%20GMT	https://stackoverflow.com/questions/ask	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/questions/ask	(from https://stackoverflow.com/questions)
22:03:00	37625/37625	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2015:03:00%20GMT	https://stackoverflow.com/users/login?ssrc=anon_ask&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions%2fask	C:/Users/Alissa%20Yarmantho/Documents/Copied%20website/Forum/stackoverflow.com/users/login6117.html	(from https://stackoverflow.com/questions)
